"","lon","lat","ele","time"
"1",-61.3766782545,15.2855586447,"29.46","2017-04-20T11:39:42Z"
"2",-61.3767526858,15.2854835428,"-8.03","2017-04-20T11:39:54Z"
"3",-61.3767904043,15.2854446508,"-8.03","2017-04-20T11:40:04Z"
"4",-61.3768693618,15.2853159048,"-3.23","2017-04-20T11:40:14Z"
"5",-61.3769291248,15.2852386236,"1.10","2017-04-20T11:40:24Z"
"6",-61.3768693618,15.2851691376,"2.06","2017-04-20T11:40:34Z"
"7",-61.3767925836,15.2851589117,"3.98","2017-04-20T11:40:44Z"
"8",-61.3767230976,15.2851345204,"5.91","2017-04-20T11:40:54Z"
"9",-61.3766666874,15.2850902639,"6.87","2017-04-20T11:41:04Z"
"10",-61.3766698726,15.2850204427,"8.31","2017-04-20T11:41:14Z"
"11",-61.3767046575,15.284939725,"9.27","2017-04-20T11:41:24Z"
"12",-61.3767902367,15.2848202828,"10.23","2017-04-20T11:41:34Z"
"13",-61.3768851198,15.2847069595,"10.23","2017-04-20T11:41:44Z"
"14",-61.3769867085,15.2846002579,"10.23","2017-04-20T11:41:54Z"
"15",-61.3770991098,15.2844990045,"10.23","2017-04-20T11:42:04Z"
"16",-61.3772096671,15.2843974158,"10.23","2017-04-20T11:42:14Z"
"17",-61.3773314562,15.2842988446,"10.71","2017-04-20T11:42:24Z"
"18",-61.3774601184,15.2842023689,"10.71","2017-04-20T11:42:34Z"
"19",-61.3775857631,15.284110168,"10.71","2017-04-20T11:42:44Z"
"20",-61.3777181972,15.2840235829,"10.71","2017-04-20T11:42:54Z"
"21",-61.3778538164,15.2839465532,"10.71","2017-04-20T11:43:04Z"
"22",-61.3779940456,15.2838802524,"10.71","2017-04-20T11:43:14Z"
"23",-61.378148105,15.2837701142,"10.71","2017-04-20T11:43:24Z"
"24",-61.3783433195,15.2835744806,"11.19","2017-04-20T11:43:34Z"
"25",-61.3785243686,15.2833497617,"11.19","2017-04-20T11:43:44Z"
"26",-61.3787313178,15.2830626816,"11.19","2017-04-20T11:43:54Z"
"27",-61.3790142071,15.2827289142,"11.19","2017-04-20T11:44:04Z"
"28",-61.3793892134,15.2823924646,"11.19","2017-04-20T11:44:14Z"
"29",-61.3798024412,15.2820650674,"11.19","2017-04-20T11:44:24Z"
"30",-61.3802498672,15.2817520034,"11.19","2017-04-20T11:44:34Z"
"31",-61.3807113748,15.2814500872,"11.19","2017-04-20T11:44:44Z"
"32",-61.381148072,15.2811133862,"11.19","2017-04-20T11:44:54Z"
"33",-61.381560294,15.2807294112,"11.19","2017-04-20T11:45:04Z"
"34",-61.3820196223,15.2802240662,"11.67","2017-04-20T11:45:14Z"
"35",-61.3826159108,15.2795627341,"11.67","2017-04-20T11:45:24Z"
"36",-61.3832783327,15.2788502723,"11.67","2017-04-20T11:45:34Z"
"37",-61.3839431014,15.2781152632,"11.19","2017-04-20T11:45:44Z"
"38",-61.3845768571,15.2772970218,"11.67","2017-04-20T11:45:54Z"
"39",-61.385298958,15.2763441671,"11.67","2017-04-20T11:46:04Z"
"40",-61.3860944007,15.2754041366,"11.67","2017-04-20T11:46:14Z"
"41",-61.3869485166,15.2745052613,"11.19","2017-04-20T11:46:24Z"
"42",-61.3878452964,15.2736387402,"11.19","2017-04-20T11:46:34Z"
"43",-61.3885404076,15.2726173215,"11.19","2017-04-20T11:46:44Z"
"44",-61.3890822977,15.271516107,"11.19","2017-04-20T11:46:54Z"
"45",-61.3896873873,15.2704337519,"11.19","2017-04-20T11:47:04Z"
"46",-61.3903861865,15.2694108244,"11.67","2017-04-20T11:47:14Z"
"47",-61.3911645301,15.2684288006,"11.67","2017-04-20T11:47:24Z"
"48",-61.3920059893,15.2674979065,"11.67","2017-04-20T11:47:34Z"
"49",-61.3928253204,15.2665494941,"11.67","2017-04-20T11:47:44Z"
"50",-61.3935283106,15.2655311767,"11.19","2017-04-20T11:47:54Z"
"51",-61.3941887207,15.2644968498,"11.19","2017-04-20T11:48:04Z"
"52",-61.3948850892,15.2634777781,"11.67","2017-04-20T11:48:14Z"
"53",-61.395658236,15.2624992747,"11.19","2017-04-20T11:48:24Z"
"54",-61.3964789081,15.2615641896,"11.19","2017-04-20T11:48:34Z"
"55",-61.3973975647,15.2607280947,"10.71","2017-04-20T11:48:44Z"
"56",-61.3983538561,15.2599138767,"10.23","2017-04-20T11:48:54Z"
"57",-61.399280224,15.2590624429,"10.23","2017-04-20T11:49:04Z"
"58",-61.4002010599,15.2582135238,"9.75","2017-04-20T11:49:14Z"
"59",-61.4010695927,15.2573010698,"9.75","2017-04-20T11:49:24Z"
"60",-61.401923541,15.2563715167,"10.23","2017-04-20T11:49:34Z"
"61",-61.4027603902,15.2554217633,"9.75","2017-04-20T11:49:44Z"
"62",-61.4036245644,15.2545096446,"10.71","2017-04-20T11:49:54Z"
"63",-61.4045322407,15.2536250185,"11.19","2017-04-20T11:50:04Z"
"64",-61.4054103289,15.2527082898,"8.31","2017-04-20T11:50:14Z"
"65",-61.4059296716,15.2521575149,"11.67","2017-04-20T11:50:20Z"
"66",-61.4068262,15.2512716316,"14.08","2017-04-20T11:50:30Z"
"67",-61.4077072218,15.2503746841,"13.12","2017-04-20T11:50:40Z"
"68",-61.4084499422,15.2495802473,"13.12","2017-04-20T11:50:50Z"
"69",-61.4089448936,15.2488694619,"13.60","2017-04-20T11:51:00Z"
"70",-61.4093210734,15.2482631151,"13.12","2017-04-20T11:51:10Z"
"71",-61.4095252566,15.2478883602,"12.63","2017-04-20T11:51:20Z"
"72",-61.4096338861,15.247683255,"12.15","2017-04-20T11:51:30Z"
"73",-61.4097204711,15.247557275,"10.23","2017-04-20T11:51:40Z"
"74",-61.4097824972,15.2474944945,"12.15","2017-04-20T11:51:50Z"
"75",-61.4098227303,15.2474526688,"12.15","2017-04-20T11:52:00Z"
"76",-61.4098601136,15.2474240027,"12.15","2017-04-20T11:52:10Z"
"77",-61.4098907076,15.247410927,"12.15","2017-04-20T11:52:20Z"
"78",-61.4099135064,15.2474037185,"12.15","2017-04-20T11:52:30Z"
"79",-61.4099350479,15.2473995276,"12.15","2017-04-20T11:52:40Z"
"80",-61.4099557512,15.2473995276,"11.67","2017-04-20T11:52:50Z"
"81",-61.4099767897,15.2473999467,"11.67","2017-04-20T11:53:00Z"
"82",-61.4099886082,15.2474098373,"11.67","2017-04-20T11:53:10Z"
"83",-61.4100039471,15.2474108431,"11.67","2017-04-20T11:53:20Z"
"84",-61.4100171067,15.2474069875,"11.67","2017-04-20T11:53:30Z"
"85",-61.4100342896,15.2473991085,"11.67","2017-04-20T11:53:40Z"
"86",-61.4100509696,15.2473855298,"11.67","2017-04-20T11:53:50Z"
"87",-61.4100642968,15.2473749686,"11.67","2017-04-20T11:54:00Z"
"88",-61.410077624,15.2473697718,"11.67","2017-04-20T11:54:10Z"
"89",-61.4100925438,15.247366922,"11.19","2017-04-20T11:54:20Z"
"90",-61.4100995846,15.2473677602,"11.19","2017-04-20T11:54:30Z"
"91",-61.4101150073,15.2473591268,"10.71","2017-04-20T11:54:40Z"
"92",-61.4101300109,15.2473491523,"10.71","2017-04-20T11:54:50Z"
"93",-61.4101473615,15.2473384235,"10.71","2017-04-20T11:55:00Z"
"94",-61.4101542346,15.2473328914,"12.15","2017-04-20T11:55:10Z"
"95",-61.4101932943,15.2473416924,"11.67","2017-04-20T11:55:20Z"
"96",-61.4102768619,15.2473369148,"12.15","2017-04-20T11:55:30Z"
"97",-61.4103727508,15.2472971007,"12.15","2017-04-20T11:55:40Z"
"98",-61.4104717411,15.2472504973,"11.67","2017-04-20T11:55:50Z"
"99",-61.4105730783,15.2472051512,"12.15","2017-04-20T11:56:00Z"
"100",-61.4106884133,15.2471643314,"12.15","2017-04-20T11:56:10Z"
"101",-61.4108227752,15.2471426222,"12.15","2017-04-20T11:56:20Z"
"102",-61.4109661896,15.2471216675,"12.63","2017-04-20T11:56:30Z"
"103",-61.4112246037,15.2469855454,"12.63","2017-04-20T11:56:40Z"
"104",-61.4115559403,15.246646665,"12.63","2017-04-20T11:56:50Z"
"105",-61.4121143427,15.2458548266,"12.63","2017-04-20T11:57:00Z"
"106",-61.4128765929,15.2449554484,"13.12","2017-04-20T11:57:10Z"
"107",-61.4136254322,15.2440090477,"12.63","2017-04-20T11:57:20Z"
"108",-61.4144316036,15.2431100048,"12.63","2017-04-20T11:57:30Z"
"109",-61.4152484201,15.2422374487,"13.12","2017-04-20T11:57:40Z"
"110",-61.4161126781,15.2413976658,"12.63","2017-04-20T11:57:50Z"
"111",-61.4169735834,15.2405655943,"12.63","2017-04-20T11:58:00Z"
"112",-61.4178457204,15.2397358697,"12.63","2017-04-20T11:58:10Z"
"113",-61.4186946396,15.2388773952,"12.63","2017-04-20T11:58:20Z"
"114",-61.4193832129,15.2379028313,"12.63","2017-04-20T11:58:30Z"
"115",-61.4201556891,15.2369993459,"12.63","2017-04-20T11:58:40Z"
"116",-61.4209448453,15.2360977046,"12.63","2017-04-20T11:58:50Z"
"117",-61.4217817783,15.2352492884,"12.63","2017-04-20T11:59:00Z"
"118",-61.4226024505,15.2343994472,"12.63","2017-04-20T11:59:10Z"
"119",-61.4233308379,15.2334496938,"13.12","2017-04-20T11:59:20Z"
"120",-61.4240701217,15.2325237449,"13.12","2017-04-20T11:59:30Z"
"121",-61.424873611,15.2316188347,"13.12","2017-04-20T11:59:40Z"
"122",-61.4256881643,15.2306912094,"12.63","2017-04-20T11:59:50Z"
"123",-61.4264930785,15.2297726367,"13.12","2017-04-20T12:00:00Z"
"124",-61.4272620343,15.2288362104,"13.12","2017-04-20T12:00:10Z"
"125",-61.4280473348,15.227897102,"13.12","2017-04-20T12:00:20Z"
"126",-61.4287970122,15.2269248851,"13.12","2017-04-20T12:00:30Z"
"127",-61.4295957237,15.2260195557,"13.12","2017-04-20T12:00:40Z"
"128",-61.4303641766,15.2250726521,"13.60","2017-04-20T12:00:50Z"
"129",-61.4310716931,15.2241197135,"13.60","2017-04-20T12:01:00Z"
"130",-61.4317953028,15.2231333312,"13.60","2017-04-20T12:01:10Z"
"131",-61.4325339999,15.2221476194,"13.60","2017-04-20T12:01:20Z"
"132",-61.4332436956,15.221133912,"13.12","2017-04-20T12:01:30Z"
"133",-61.4339605998,15.2201072965,"13.60","2017-04-20T12:01:40Z"
"134",-61.4345706347,15.2191849519,"14.08","2017-04-20T12:01:50Z"
"135",-61.4349135384,15.2184880804,"14.08","2017-04-20T12:02:00Z"
"136",-61.4351442084,15.2181024291,"14.08","2017-04-20T12:02:10Z"
"137",-61.435331041,15.2179081365,"17.44","2017-04-20T12:02:20Z"
"138",-61.4354446996,15.2178216353,"13.60","2017-04-20T12:02:30Z"
"139",-61.4355291892,15.2177862637,"12.15","2017-04-20T12:02:40Z"
"140",-61.4355964959,15.2177654766,"12.15","2017-04-20T12:02:50Z"
"141",-61.4356444404,15.2177667338,"12.15","2017-04-20T12:03:00Z"
"142",-61.4356881101,15.2177661471,"12.15","2017-04-20T12:03:10Z"
"143",-61.4357285947,15.2177627943,"11.67","2017-04-20T12:03:20Z"
"144",-61.4357694145,15.2177659795,"11.67","2017-04-20T12:03:30Z"
"145",-61.4357974101,15.2177658118,"11.67","2017-04-20T12:03:40Z"
"146",-61.4358295966,15.2177661471,"11.67","2017-04-20T12:03:50Z"
"147",-61.4358603582,15.2177670691,"11.19","2017-04-20T12:04:00Z"
"148",-61.4358839113,15.2177596092,"10.23","2017-04-20T12:04:10Z"
"149",-61.4359107334,15.217763884,"10.23","2017-04-20T12:04:20Z"
"150",-61.43593546,15.2177663986,"10.23","2017-04-20T12:04:30Z"
"151",-61.4359638747,15.2177725174,"10.71","2017-04-20T12:04:40Z"
"152",-61.4359856676,15.2177801449,"10.71","2017-04-20T12:04:50Z"
"153",-61.4360133279,15.2177857608,"10.71","2017-04-20T12:05:00Z"
"154",-61.4360505436,15.217788443,"10.71","2017-04-20T12:05:10Z"
"155",-61.4360797964,15.2177857608,"10.71","2017-04-20T12:05:20Z"
"156",-61.4361007512,15.2177755348,"10.71","2017-04-20T12:05:30Z"
"157",-61.4361152519,15.2177704219,"10.71","2017-04-20T12:05:40Z"
"158",-61.4361760207,15.2177761216,"10.23","2017-04-20T12:05:50Z"
"159",-61.4362988155,15.2178043686,"9.75","2017-04-20T12:06:00Z"
"160",-61.4364416432,15.2178346273,"10.23","2017-04-20T12:06:10Z"
"161",-61.4365872368,15.2178815659,"10.23","2017-04-20T12:06:20Z"
"162",-61.4367539529,15.2179479506,"10.23","2017-04-20T12:06:30Z"
"163",-61.4370937552,15.2180636209,"9.75","2017-04-20T12:06:40Z"
"164",-61.4376836736,15.2185256314,"10.23","2017-04-20T12:06:50Z"
"165",-61.4384153299,15.2191273682,"9.75","2017-04-20T12:07:00Z"
"166",-61.4391076751,15.2198432665,"9.75","2017-04-20T12:07:10Z"
"167",-61.439904375,15.2205444966,"9.75","2017-04-20T12:07:20Z"
"168",-61.4406981412,15.2213489078,"9.75","2017-04-20T12:07:30Z"
"169",-61.4414251037,15.222205203,"10.23","2017-04-20T12:07:40Z"
"170",-61.4420731086,15.2231280506,"10.71","2017-04-20T12:07:50Z"
"171",-61.4427165035,15.2240565978,"11.19","2017-04-20T12:08:00Z"
"172",-61.4433440566,15.2249617595,"10.71","2017-04-20T12:08:10Z"
"173",-61.4440249186,15.2258691844,"10.71","2017-04-20T12:08:20Z"
"174",-61.4446755219,15.2267476916,"11.19","2017-04-20T12:08:30Z"
"175",-61.4452180825,15.2276682761,"11.19","2017-04-20T12:08:40Z"
"176",-61.44573709,15.2285552491,"11.19","2017-04-20T12:08:50Z"
"177",-61.4462141879,15.229433421,"11.67","2017-04-20T12:09:00Z"
"178",-61.4467468578,15.2303127665,"11.67","2017-04-20T12:09:10Z"
"179",-61.4472516999,15.2312149946,"11.67","2017-04-20T12:09:20Z"
"180",-61.4477469027,15.2321261074,"11.67","2017-04-20T12:09:30Z"
"181",-61.4481972624,15.2330775373,"11.67","2017-04-20T12:09:40Z"
"182",-61.4487318601,15.2340207528,"12.15","2017-04-20T12:09:50Z"
"183",-61.4492558967,15.2349627111,"12.15","2017-04-20T12:10:00Z"
"184",-61.4498271234,15.236049844,"12.15","2017-04-20T12:10:10Z"
"185",-61.450438248,15.2372214664,"12.15","2017-04-20T12:10:20Z"
"186",-61.4510756917,15.2383298054,"12.15","2017-04-20T12:10:30Z"
"187",-61.4517039992,15.2394363005,"12.15","2017-04-20T12:10:40Z"
"188",-61.4523515012,15.2405830286,"12.63","2017-04-20T12:10:50Z"
"189",-61.4529820718,15.2417493705,"12.63","2017-04-20T12:11:00Z"
"190",-61.4536273945,15.2428964339,"12.15","2017-04-20T12:11:10Z"
"191",-61.4542562049,15.2440279908,"12.15","2017-04-20T12:11:20Z"
"192",-61.4548336342,15.2451870404,"12.63","2017-04-20T12:11:30Z"
"193",-61.4553677291,15.2463765163,"12.63","2017-04-20T12:11:40Z"
"194",-61.4559563901,15.2475445345,"12.63","2017-04-20T12:11:50Z"
"195",-61.4565461408,15.2487503551,"12.63","2017-04-20T12:12:00Z"
"196",-61.4571878593,15.2499099076,"12.15","2017-04-20T12:12:10Z"
"197",-61.457867967,15.2510421351,"12.15","2017-04-20T12:12:20Z"
"198",-61.4585306402,15.2521725185,"12.63","2017-04-20T12:12:30Z"
"199",-61.459234301,15.2532878984,"12.63","2017-04-20T12:12:40Z"
"200",-61.4598903526,15.2544680703,"12.63","2017-04-20T12:12:50Z"
"201",-61.4604076836,15.2557065804,"12.63","2017-04-20T12:13:00Z"
"202",-61.460930882,15.2569323499,"12.63","2017-04-20T12:13:10Z"
"203",-61.4615425095,15.2580692712,"13.12","2017-04-20T12:13:20Z"
"204",-61.4618823957,15.2593096253,"12.63","2017-04-20T12:13:30Z"
"205",-61.4622946177,15.260558445,"12.63","2017-04-20T12:13:40Z"
"206",-61.4627336618,15.261791423,"12.63","2017-04-20T12:13:50Z"
"207",-61.4630858693,15.2630704176,"12.63","2017-04-20T12:14:00Z"
"208",-61.4633752126,15.2643426228,"12.63","2017-04-20T12:14:10Z"
"209",-61.4636546653,15.2655901015,"12.63","2017-04-20T12:14:20Z"
"210",-61.4639870916,15.2668481413,"12.63","2017-04-20T12:14:30Z"
"211",-61.4644430671,15.2681159042,"12.63","2017-04-20T12:14:40Z"
"212",-61.4649291337,15.2693648078,"12.63","2017-04-20T12:14:50Z"
